No.,repo_name,repo_url,contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
1,mapbox/mapbox-gl-native,https://github.com/mapbox/mapbox-gl-native,244,326,1325,4383,372203,295,17,447,15978,25,495067918.2,495067918.2,12103870.58,7714635.71,23737.06,1034174.5,286578.6,1/27/2014
2,minetest/minetest,https://github.com/minetest/minetest,1058,318,2055,11026,115875,1195,83,30,12352,248,493525405.2,493525405.2,36833341.27,736855.88,36883.24,34605.01,2299.23,8/7/2011
3,shaka-project/shaka-packager,https://github.com/shaka-project/shaka-packager,79,111,515,2057,578743,137,6,41,1546,260,487969646.7,487969646.7,7729422.92,10066853.63,163470.16,469080.94,26126.57,4/21/2014
4,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,393,420,4076,29450,244448,2786,32,0,13123,263,483128219.6,483128219.6,42652113.95,272200.4,36066.97,55309.76,2330.87,2/4/2012
5,mousebird-consulting-inc/WhirlyGlobe,https://github.com/mousebird-consulting-inc/WhirlyGlobe,39,62,255,832,548585,112,2,5,11831,13,483126210.5,483126210.5,4893274.32,4516845.39,172692.41,80274.6,565618.3846,1/9/2012
6,topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,319,1551,12940,50230,60424,35,5,142,7082,290,479193149.8,479193149.8,201888203.7,201888203.7,1013160.53,95979.64,2078.5,9/8/2016
7,lbryio/lbrycrd,https://github.com/lbryio/lbrycrd,725,51,178,2562,91930,29,1,32,18248,2,472284384,472284384,73596011.76,73596011.76,145021.08,771835.7,2338435.5,8/20/2015
8,quackle/quackle,https://github.com/quackle/quackle,10,29,41,170,62068,70,1,5,254,6,470977712,470977712,7724783.4,7724783.4,746888.27,1715771.12,520679.1667,8/25/2013
9,libigl/libigl,https://github.com/libigl/libigl,203,163,1140,4650,13193,126,7,8,5306,236,470757567.7,470757567.7,16219957.28,12532653.35,138387.7,438362.4,45302.41,2/21/2014
10,mongodb/mongo-cxx-driver,https://github.com/mongodb/mongo-cxx-driver,100,142,544,1055,94901,0,2,89,1903,294,469471128,469471128,0,0,338723.27,102925.62,11969.5,1/13/2014
11,openstreetmap/merkaartor,https://github.com/openstreetmap/merkaartor,65,34,80,304,28765,64,2,4,2742,8,463420858.5,463420858.5,34768303.3,34768303.3,228938.73,502964.55,792171.375,5/1/2010
12,zerotier/ZeroTierOne,https://github.com/zerotier/ZeroTierOne,105,293,1743,14865,161727,297,4,46,6380,289,450676301.3,450676301.3,8420796.57,2663309.31,25592.81,224794.87,10248.53,4/24/2013
13,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,1297,2048,15580,66335,176397,208,75,178,19902,295,449663812.2,449663812.2,26824646.95,1579391.38,48797.29,9520.63,1009.13,8/26/2014
